NrCrt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59
1,P1,-,P3,P4,-,-,-,P8,P9,-,P11,-,-,-,P15,P16,-,-,P19,-,-,P22,P23,-,P25,P26,P27,P28,P29,-,P31,-,-,-,P35,-,P37,P38,P39,-,-,P42,P43,P44,P45,P46,P47,-,-,P50,P51,P52,-,P54,-,P56,P57,-,-
2,P1,P2,P3,-,-,-,-,P8,-,P10,P11,-,P13,P14,P15,P16,P17,P18,P19,P20,-,P22,P23,P24,P25,-,P27,-,P29,P30,P31,P32,P33,P34,P35,P36,P37,-,-,P40,-,-,P43,P44,P45,P46,P47,P48,P49,-,P51,P52,P53,-,-,-,P57,P58,P59
3,?,-,P3,P4,-,P6,P7,P8,-,P10,P11,P12,?,?,?,-,-,-,-,P20,-,-,P23,?,P25,?,?,P28,?,P30,?,-,P33,-,-,-,-,?,P39,-,-,?,-,?,-,-,P47,?,P49,?,-,P52,?,P54,P55,-,?,P58,P59
4,P1,-,-,-,-,P6,P7,-,-,-,-,-,-,-,-,-,P17,-,P19,P20,-,-,-,-,-,P26,P27,P28,-,-,-,-,P33,P34,P35,-,P37,P38,P39,-,P41,-,-,P44,-,-,P47,-,P49,P50,-,P52,P53,P54,P55,P56,P57,-,-
5,P1,-,P3,P4,P5,P6,-,P8,-,P10,-,P12,-,P14,P15,-,P17,-,-,P20,-,P22,P23,-,P25,-,P27,-,-,P30,P31,-,-,-,P35,P36,P37,P38,-,-,P41,-,P43,-,P45,-,-,P48,P49,P50,P51,-,-,P54,P55,P56,P57,P58,P59
6,-,-,-,-,-,P6,P7,P8,P9,-,P11,-,-,-,P15,P16,P17,-,P19,-,-,P22,P23,P24,-,-,P27,-,P29,P30,P31,-,-,P34,P35,P36,P37,-,-,P40,P41,P42,P43,P44,P45,-,-,P48,-,-,P51,P52,P53,P54,P55,-,-,P58,-
7,P1,-,-,P4,P5,-,-,P8,P9,P10,-,P12,P13,-,-,P16,-,P18,P19,P20,-,P22,P23,P24,P25,-,-,-,-,P30,P31,-,P33,-,P35,P36,P37,-,-,-,-,-,-,P44,P45,P46,-,-,-,-,-,-,-,P54,-,P56,P57,P58,-
8,-,P2,P3,-,-,-,-,P8,P9,P10,-,-,P13,P14,-,P16,P17,-,P19,-,P21,-,P23,-,P25,P26,P27,P28,P29,P30,-,-,P33,P34,P35,P36,P37,-,P39,P40,-,P42,-,-,P45,-,P47,P48,P49,-,-,P52,-,-,P55,-,-,P58,P59
9,P1,-,P3,-,P5,-,-,P8,-,P10,P11,-,-,P14,P15,-,P17,P18,P19,P20,P21,P22,-,-,P25,-,-,-,P29,P30,P31,-,-,P34,P35,-,P37,P38,P39,P40,P41,P42,P43,-,P45,-,P47,-,P49,-,-,-,-,-,P55,P56,P57,P58,-
